"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","Логин пользователя с невалидным форматом email и валидным паролем","tests","Sun Jan 11 04:43:57 UTC 2026","passed","Sun Jan 11 04:43:57 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","41","Создание пользователя с невалидным email","tests","Sun Jan 11 04:44:16 UTC 2026","passed","Sun Jan 11 04:44:16 UTC 2026","TestUserNegative","test_user","",""
"","97","Обновление существующего продукта","tests","Sun Jan 11 04:44:13 UTC 2026","passed","Sun Jan 11 04:44:13 UTC 2026","TestProductPositive","test_product","",""
"","47","Создание пользователя с невалидным паролем","tests","Sun Jan 11 04:44:15 UTC 2026","passed","Sun Jan 11 04:44:15 UTC 2026","TestUserNegative","test_user","",""
"","51","Создание пользователя с невалидным email","tests","Sun Jan 11 04:44:15 UTC 2026","passed","Sun Jan 11 04:44:15 UTC 2026","TestUserNegative","test_user","",""
"","0","Создание продукта с данными в невалидном формате","tests","Sun Jan 11 04:44:11 UTC 2026","skipped","Sun Jan 11 04:44:11 UTC 2026","TestProductNegative","test_product","",""
"","0","Создание продукта с данными в невалидном формате","tests","Sun Jan 11 04:44:11 UTC 2026","skipped","Sun Jan 11 04:44:11 UTC 2026","TestProductNegative","test_product","",""
"","664","Создание пользователя с валидными данными","tests","Sun Jan 11 04:44:11 UTC 2026","passed","Sun Jan 11 04:44:12 UTC 2026","TestUserPositive","test_user","",""
"","12","Удаление единицы продукта из корзины","tests","Sun Jan 11 04:44:06 UTC 2026","passed","Sun Jan 11 04:44:06 UTC 2026","TestCartPositive","test_cart","",""
"","0","Создание продукта с данными в невалидном формате","tests","Sun Jan 11 04:44:11 UTC 2026","skipped","Sun Jan 11 04:44:11 UTC 2026","TestProductNegative","test_product","",""
"","235","Логин пользователя с валидным, но не зарегистрированным email и валидным паролем","tests","Sun Jan 11 04:43:59 UTC 2026","passed","Sun Jan 11 04:43:59 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","0","Добавление товара без наличия в корзину","tests","Sun Jan 11 04:44:06 UTC 2026","skipped","Sun Jan 11 04:44:06 UTC 2026","TestCartNegative","test_cart","",""
"","0","Создание продукта без заполнения обязательного поля","tests","Sun Jan 11 04:44:11 UTC 2026","skipped","Sun Jan 11 04:44:11 UTC 2026","TestProductNegative","test_product","",""
"","31","Добавление единицы продукта в корзину","tests","Sun Jan 11 04:43:59 UTC 2026","passed","Sun Jan 11 04:43:59 UTC 2026","TestCartPositive","test_cart","",""
"","15","Создание заказа","tests","Sun Jan 11 04:44:04 UTC 2026","passed","Sun Jan 11 04:44:04 UTC 2026","TestOrderPositive","test_order","",""
"","36","Создание пользователя с невалидным телефоном","tests","Sun Jan 11 04:44:15 UTC 2026","passed","Sun Jan 11 04:44:15 UTC 2026","TestUserNegative","test_user","",""
"","394","Обновление данных существующего пользователя","tests","Sun Jan 11 04:44:15 UTC 2026","passed","Sun Jan 11 04:44:15 UTC 2026","TestUserPositive","test_user","",""
"","792","Логин пользователя с валидными данными","tests","Sun Jan 11 04:43:55 UTC 2026","passed","Sun Jan 11 04:43:56 UTC 2026","TestAuthenticationPositive","test_authentication","",""
"","12","Создание пользователя с уже зарегистрированным email","tests","Sun Jan 11 04:44:16 UTC 2026","passed","Sun Jan 11 04:44:16 UTC 2026","TestUserNegative","test_user","",""
"","575","Логин админа с валидными данными","tests","Sun Jan 11 04:43:57 UTC 2026","passed","Sun Jan 11 04:43:58 UTC 2026","TestAuthenticationPositive","test_authentication","",""
"","18","Логин пользователя с невалидным форматом email и валидным паролем","tests","Sun Jan 11 04:43:59 UTC 2026","passed","Sun Jan 11 04:43:59 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","83","Удаление существующего продукта","tests","Sun Jan 11 04:44:15 UTC 2026","passed","Sun Jan 11 04:44:15 UTC 2026","TestProductPositive","test_product","",""
"","50","Создание пользователя с невалидным телефоном","tests","Sun Jan 11 04:44:15 UTC 2026","passed","Sun Jan 11 04:44:15 UTC 2026","TestUserNegative","test_user","",""
"","49","Создание пользователя с невалидным паролем","tests","Sun Jan 11 04:44:15 UTC 2026","passed","Sun Jan 11 04:44:15 UTC 2026","TestUserNegative","test_user","",""
"","726","Логин пользователя с отсутствующим паролем","tests","Sun Jan 11 04:43:55 UTC 2026","passed","Sun Jan 11 04:43:56 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","42","Создание пользователя с невалидным телефоном","tests","Sun Jan 11 04:44:15 UTC 2026","passed","Sun Jan 11 04:44:15 UTC 2026","TestUserNegative","test_user","",""
"","83","Получение существующего продукта","tests","Sun Jan 11 04:44:11 UTC 2026","passed","Sun Jan 11 04:44:11 UTC 2026","TestProductPositive","test_product","",""
"","112","Получение существующего пользователя","tests","Sun Jan 11 04:44:14 UTC 2026","passed","Sun Jan 11 04:44:14 UTC 2026","TestUserPositive","test_user","",""
"","10","Создание пользователя с невалидным email","tests","Sun Jan 11 04:44:15 UTC 2026","passed","Sun Jan 11 04:44:15 UTC 2026","TestUserNegative","test_user","",""
"","92","Получение списка продуктов","tests","Sun Jan 11 04:44:11 UTC 2026","passed","Sun Jan 11 04:44:11 UTC 2026","TestProductPositive","test_product","",""
"","85","Добавление несуществующего товара в корзину","tests","Sun Jan 11 04:44:08 UTC 2026","passed","Sun Jan 11 04:44:08 UTC 2026","TestCartNegative","test_cart","",""
"","0","Добавление количества одного товара в корзину больше чем доступно","tests","Sun Jan 11 04:44:08 UTC 2026","skipped","Sun Jan 11 04:44:08 UTC 2026","TestCartNegative","test_cart","",""
"","107","Удаление существующего пользователя","tests","Sun Jan 11 04:44:15 UTC 2026","passed","Sun Jan 11 04:44:15 UTC 2026","TestUserPositive","test_user","",""
"","0","Создание заказа если один из продуктов недоступен","tests","Sun Jan 11 04:44:13 UTC 2026","skipped","Sun Jan 11 04:44:13 UTC 2026","TestOrderNegative","test_order","",""
"","6","Получение списка заказов","tests","Sun Jan 11 04:44:13 UTC 2026","passed","Sun Jan 11 04:44:13 UTC 2026","TestOrderPositive","test_order","",""
"","14","Получение данных корзины","tests","Sun Jan 11 04:44:03 UTC 2026","passed","Sun Jan 11 04:44:03 UTC 2026","TestCartPositive","test_cart","",""
"","91","Создание пользователя с невалидным паролем","tests","Sun Jan 11 04:44:15 UTC 2026","passed","Sun Jan 11 04:44:15 UTC 2026","TestUserNegative","test_user","",""
"","31","Создание пользователя с невалидным телефоном","tests","Sun Jan 11 04:44:15 UTC 2026","passed","Sun Jan 11 04:44:15 UTC 2026","TestUserNegative","test_user","",""
"","128","Обновление количества единицы продукта в корзине","tests","Sun Jan 11 04:44:03 UTC 2026","passed","Sun Jan 11 04:44:03 UTC 2026","TestCartPositive","test_cart","",""
"","0","Создание заказа с удаленной корзиной","tests","Sun Jan 11 04:44:06 UTC 2026","skipped","Sun Jan 11 04:44:06 UTC 2026","TestOrderNegative","test_order","",""
"","59","Логин пользователя с невалидным форматом email и валидным паролем","tests","Sun Jan 11 04:43:56 UTC 2026","passed","Sun Jan 11 04:43:56 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","108","Создание продукта с валидными данными","tests","Sun Jan 11 04:44:08 UTC 2026","passed","Sun Jan 11 04:44:08 UTC 2026","TestProductPositive","test_product","",""
"","12","Удаление корзины","tests","Sun Jan 11 04:44:06 UTC 2026","passed","Sun Jan 11 04:44:06 UTC 2026","TestCartPositive","test_cart","",""
"","93","Создание пользователя с невалидным email","tests","Sun Jan 11 04:44:15 UTC 2026","passed","Sun Jan 11 04:44:15 UTC 2026","TestUserNegative","test_user","",""
"","47","Создание пользователя с невалидным телефоном","tests","Sun Jan 11 04:44:15 UTC 2026","passed","Sun Jan 11 04:44:15 UTC 2026","TestUserNegative","test_user","",""
"","42","Логин пользователя с невалидным форматом email и валидным паролем","tests","Sun Jan 11 04:43:58 UTC 2026","passed","Sun Jan 11 04:43:58 UTC 2026","TestAuthenticationNegative","test_authentication","",""
