"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","User","0","Users","14","0","Create entity","0"
"0","Admin","0","Products","1","0","Delete entity","0"
"0","User","0","Carts","2","0","Delete entity","0"
"0","User","0","Carts","2","0","Get entity","0"
"0","User","0","Carts","7","0","Create entity","0"
"0","User","0","Authentication","8","0","Login","0"
"0","Admin","0","Authentication","1","0","Login","0"
"0","User","0","Users","1","0","Update entity","0"
"0","Admin","0","Products","1","0","Update entity","0"
"0","User","0","Products","1","0","Get entities","0"
"0","Admin","0","Products","4","0","Create entity","0"
"0","User","0","Carts","1","0","Update entity","0"
"0","User","0","Carts","1","0","Get entities","0"
"0","User","0","Users","1","0","Get entity","0"
"0","User","0","Products","1","0","Get entity","0"
"0","User","0","Users","1","0","Delete entity","0"
